Katerory	Straftatart	D, m, 14-18	D, m, 18-21	D, m, 21-25	D, m, 25-30	D, m, 30-40	D, m, 40-50	D, m, 50+	D, w, 14-18	D, w, 18-21	D, w, 21-25	D, w, 25-30	D, w, 30-40	D, w, 40-50	D, w, 50+	A, m, 14-18	A, m, 18-21	A, m, 21-25	A, m, 25-30	A, m, 30-40	A, m, 40-50	A, m, 50+	A, w, 14-18	A, w, 18-21	A, w, 21-25	A, w, 25-30	A, w, 30-40	A, w, 40-50	A, w, 50+
A	Straftaten gegen den Staat, die öffentliche Ordnung	1331	2164	3218	2405	3004	2886	2251	403	490	734	574	779	779	539	221	330	587	634	989	511	278	33	56	118	144	210	127	87
B	Sexueller Missbrauch von Kindern	256	145	117	154	408	442	468	4	2	4	6	8	8	4	35	9	9	23	49	59	30	1	0	0	0	0	0	1
B	Vergewaltigung	63	44	62	61	109	83	47	0	0	0	0	1	1	0	26	19	24	48	77	26	8	0	0	0	1	1	1	0
B	Sonstiges	170	227	337	430	1013	1186	990	6	12	16	40	43	23	11	48	41	63	100	171	116	86	0	9	22	9	15	1	2
C	Verletzung der Unterhaltspflicht	0	7	64	232	951	847	184	0	0	2	3	13	21	3	0	2	5	44	158	97	14	0	0	0	1	2	1	0
C	Mord und Totschlag	32	42	38	47	81	65	67	5	5	8	5	11	10	8	4	19	21	21	59	33	11	0	2	1	0	4	1	2
C	Körperverletzung	4832	5847	7060	5484	6436	5008	2704	925	520	486	390	509	427	229	1151	1102	1401	1536	2562	1268	405	200	73	91	113	170	92	45
C	Gefährliche und schwere Körperverletzung	5623	5694	4386	2677	2206	1494	870	1222	440	320	188	242	214	109	1706	1247	982	903	1081	506	220	206	52	58	51	106	55	27
C	Sonstiges	1311	2543	4711	4029	5584	5821	5386	256	313	558	499	770	939	802	284	477	1023	1165	2164	1221	660	37	39	87	123	230	136	79
D	Diebstahl	7719	5901	8434	8201	11251	10498	10571	3127	1864	2864	2540	3849	4683	6049	1539	1246	2455	2906	4917	2655	1802	658	580	1128	1317	2220	1412	1211
D	Schwerer Diebstahl	4686	3817	3320	2460	2567	1254	484	279	219	206	174	197	143	70	872	951	975	1145	1491	435	149	83	70	83	86	96	43	26
D	Sonstiges	592	727	1018	912	1246	1061	553	97	173	286	283	358	310	171	160	113	166	187	354	170	71	14	16	30	29	57	35	18
E	Raub u. Erpressung,räuber. Angriff auf Kraftfahrer	2259	1760	1273	797	659	351	214	195	83	65	52	74	49	28	910	544	343	275	366	92	33	36	14	12	19	19	18	7
F	Betrug	620	3080	8086	9600	14052	11798	8420	272	1699	4310	5111	7417	6557	3692	149	591	1440	2261	4414	2515	1319	58	220	537	775	1344	807	474
F	Urkundenfälschung	411	898	1475	1472	1988	1754	1206	109	223	513	476	682	614	355	131	250	751	1015	1473	700	268	39	72	154	230	273	141	66
F	Sonstiges	4618	8149	15409	11276	11118	8723	5833	1004	2251	4218	2986	2784	2504	1479	706	1354	2581	2601	3919	2067	967	173	359	733	592	887	496	234
G	Gemeingefährliche einschl. Umweltstraftaten	316	422	536	516	784	964	822	23	34	33	40	103	151	123	26	39	61	100	228	177	119	2	1	4	12	14	15	14
H	Straftaten im Straßenverkehr nach dem StGB	1443	9359	13320	12123	17190	23042	25584	75	1292	1956	1956	3358	5420	6157	144	988	1913	2555	5109	3818	2635	8	128	254	368	766	498	357
H	Straftaten nach dem Straßenverkehrsgesetz	3313	2716	4874	4919	6047	5712	4457	129	271	596	647	782	788	537	337	521	1430	1964	3277	1710	773	10	35	108	145	272	154	58
I	Straftaten nach dem Betäubungsmittelgesetz	1694	6196	11359	10039	8291	3755	861	198	669	1367	1197	1164	654	155	256	992	2349	2679	3392	1141	297	10	59	160	167	210	95	26
I	Straftaten nach dem Aufenthaltsgesetz	0	8	19	49	77	94	50	0	6	23	33	36	35	29	14	247	973	1414	2145	966	268	8	46	198	324	466	235	154
I	Sonstiges	848	1986	3677	2962	4791	5625	5181	24	128	428	539	1202	1933	1205	108	488	1148	1501	2988	2080	1191	7	64	127	189	470	402	228
